snr_db,edma,oma,genie,sic
0,0.05294439072634817,0.04744227546406637,0.05379261851424639,0.05389018816321296
5,0.07594817329319892,0.06247051502646607,0.07880139316120491,0.07881668500992306
10,0.12217900552930536,0.09554048483563253,0.12869653017833063,0.12780141614005225
15,0.20186260353988977,0.15862477653551696,0.21655865548824185,0.210747933448543
20,0.3172937611389947,0.2656884406371917,0.3525261215672996,0.32788756860888746
25,0.44561602112223075,0.4226203227111401,0.5255728405808201,0.45184034211813306
30,0.5477712579317904,0.6069297656726085,0.6947138682844006,0.542792955511582
